2/10, 4 : 7-2,4,0,2,3

6/3, 4 : 28-0,2,3,2,0

8/K, 4 : 40-3,3,4,0,3

5/10, 4 : 5-4,0,0,1,4

K/10, 4 : 49-0,2,0,2,0

Q/2, 4 : 9-3,3,0,1,4

6/4, 4 : 25-0,4,4,2,1

J/A, 5 : 20-4,5,3,0,1

Q/4, 5 : 19-3,0,1,4,5

5/8, 5 : 0-4,0,3,3,0

5/J, 5 : 8-0,0,5,4,0



4/Q, 5 : 14-5,3,0,1,4

K/6, 5 : 37-0,1,5,5,5

5/2, 5 : 4-5,4,0,2,3

10/2, 5 : 5-4,5,2,1,1

A/4, 5 : 19-1,0,2,1,1

10/K, 5 : 43-1,0,2,3,5

3/4, 5 : 37-1,5,3,2,3

3/Q, 5 : 39-5,4,1,5,0

8/6, 5 : 36-3,1,1,0,3

3/5, 5 : 44-4,1,5,5,5

K/J, 5 : 38-3,5,0,2,0

10/Q, 5 : 7-2,0,0,4,3

3/K, 5 : 38-0,0,2,2,2

8/5, 5 : 45-2,5,4,0,0

Q/A, 5 : 20-2,0,0,0,0

K/10, 5 : 43-1,0,2,0,5

K/7, 5 : 33-4,0,3,0,2

7/J, 5 : 13-2,0,1,0,4

5/7, 5 : 5-0,0,3,3,2

Q/2, 5 : 6-5,0,0,1,4

J/K, 5 : 30-3,5,3,4,0

6/3, 5 : 33-5,4,0,2,0

10/4, 5 : 6-3,5,4,0,3

6/K, 5 : 32-2,0,1,5,5

6/4, 5 : 19-1,0,0,0,3

J/6, 5 : 23-1,0,5,4,5

8/K, 5 : 38-0,4,0,3,1

10/J, 5 : 8-1,4,5,3,0

J/Q, 5 : 20-4,0,3,5,0

J/5, 5 : 16-2,3,1,2,0

Q/5, 5 : 7-0,5,0,0,3

7/A, 5 : 21-2,0,5,4,0

4/7, 5 : 17-3,1,2,0,1

A/J, 5 : 20-4,5,0,0,1

8/Q, 5 : 40-0,2,5,4,4

A/5, 5 : 16-2,5,0,4,4

9/5, 5 : 11-3,2,5,2,0

6/8, 5 : 24-1,0,0,3,3

8/10, 5 : 40-4,2,5,4,1

7/4, 5 : 21-2,3,5,2,0

2/A, 5 : 10-5,4,1,5,0

K/8, 5 : 38-0,4,0,5,0

3/6, 5 : 27-0,2,0,5,3

J/7, 5 : 18-0,1,0,4,3

5/K, 5 : 47-5,3,0,3,3

K/A, 5 : 32-3,3,1,5,3

3/A, 5 : 27-0,3,3,5,3

10/5, 5 : 6-3,5,2,0,1

Q/8, 5 : 6-1,1,5,4,4

J/4, 5 : 18-5,5,0,0,3

A/2, 5 : 15-1,1,5,0,0

7/5, 5 : 11-4,2,2,1,5

2/9, 5 : 51-1,1,0,0,2

K/5, 5 : 48-0,2,0,2,2

8/J, 5 : 36-0,5,3,0,3

9/7, 5 : 3-2,5,2,0,0

6/10, 5 : 23-3,5,5,4,1

5/10, 5 : 5-0,3,2,5,2

9/2, 5 : 4-1,0,0,2,4

5/3, 5 : 7-1,1,1,0,0

K/4, 5 : 37-1,1,5,2,5

3/10, 5 : 39-0,4,1,5,2

5/9, 5 : 2-3,5,2,1,0

Q/10, 5 : 7-0,0,0,4,3

9/Q, 5 : 2-3,0,2,0,5

8/2, 5 : 42-0,0,4,2,5

5/Q, 5 : 7-5,5,0,0,3

10/9, 5 : 0-0,4,4,2,5

J/8, 5 : 31-2,0,5,3,0

9/10, 5 : 11-3,1,0,2,0

10/7, 5 : 4-0,5,3,4,2

J/9, 5 : 18-5,0,0,3,3

6/A, 5 : 26-0,3,3,1,0

7/9, 5 : 21-2,2,0,1,0

9/J, 5 : 13-1,5,0,0,3

K/3, 5 : 40-3,0,0,0,3

3/J, 5 : 27-0,1,4,5,3

9/4, 5 : 13-1,2,0,1,3

A/6, 5 : 26-0,4,3,1,0

5/4, 5 : 8-0,0,2,4,1

4/5, 5 : 13-0,2,4,1,0

2/10, 5 : 5-4,5,4,1,1

8/7, 5 : 41-0,1,0,3,5

Q/7, 5 : 7-0,3,0,1,3

2/K, 5 : 48-4,2,0,0,0

K/9, 5 : 42-1,5,0,5,4

A/7, 5 : 26-0,5,4,0,0

8/A, 5 : 36-4,5,0,0,3

4/10, 5 : 12-0,3,4,2,5

2/5, 5 : 5-0,5,4,1,2

3/9, 5 : 42-5,3,0,3,4

5/A, 5 : 11-2,2,5,0,4

A/10, 5 : 20-5,5,0,0,4

Q/9, 5 : 7-0,2,0,5,3

4/J, 5 : 14-5,0,0,4,4

J/3, 5 : 22-2,0,1,4,5

Q/J, 5 : 20-2,0,3,5,0

A/Q, 5 : 25-0,0,0,0,5

2/8, 5 : 48-4,3,1,0,0

6/Q, 5 : 19-3,5,0,0,3

A/3, 5 : 27-0,3,3,5,4

4/6, 5 : 19-1,0,0,4,3

K/2, 5 : 48-0,2,0,0,0

Q/6, 5 : 19-3,5,0,0,5

6/J, 5 : 23-1,5,5,4,5

4/A, 5 : 18-2,5,3,0,2

7/Q, 5 : 12-3,0,1,3,0

A/K, 5 : 30-0,0,3,5,0

A/8, 5 : 31-4,4,5,0,0

J/10, 5 : 20-4,1,3,5,4

K/Q, 5 : 38-0,2,0,2,5

4/9, 5 : 13-1,2,0,1,0

A/7, 6 : 22-1,6,0,0,5

3/10, 6 : 42-0,2,0,1,3

A/2, 6 : 13-0,2,0,4,3

2/8, 6 : 43-4,3,1,6,0

4/3, 6 : 24-5,2,2,0,0

8/5, 6 : 46-1,6,6,0,6



9/3, 6 : 35-1,6,3,4,6

K/2, 6 : 47-0,2,4,0,2

6/3, 6 : 30-4,0,0,2,4

10/6, 6 : 15-2,5,6,0,5

J/9, 6 : 18-0,4,0,5,6

7/Q, 6 : 6-0,3,5,0,6

10/K, 6 : 49-0,0,2,2,5

J/K, 6 : 23-1,4,0,2,0

9/8, 6 : 6-1,2,6,4,0

10/8, 6 : 38-0,3,0,5,6

8/A, 6 : 34-0,6,5,4,1

7/10, 6 : 19-4,1,0,6,3

6/4, 6 : 16-4,6,0,5,2

J/5, 6 : 12-0,0,3,3,5

3/6, 6 : 30-4,0,0,2,0

8/K, 6 : 37-0,4,6,4,2

9/A, 6 : 27-1,3,1,0,0

A/9, 6 : 27-4,3,1,0,0

9/2, 6 : 7-6,0,2,3,5

3/7, 6 : 36-1,0,2,0,6

7/3, 6 : 7-1,2,4,6,0

K/Q, 6 : 36-6,3,5,1,4

6/A, 6 : 28-0,0,2,5,0

7/8, 6 : 44-2,0,3,5,6

5/J, 6 : 6-6,0,0,3,3

A/8, 6 : 29-0,5,0,4,0

K/A, 6 : 33-6,4,0,2,0

4/6, 6 : 16-4,6,0,4,2

7/J, 6 : 16-6,2,5,3,0

Q/2, 6 : 51-1,6,5,5,6

9/4, 6 : 50-4,1,4,4,0

2/10, 6 : 49-3,0,6,0,5

3/A, 6 : 30-2,4,0,3,0

10/4, 6 : 14-3,0,3,0,0

4/9, 6 : 11-3,3,0,6,3

Q/3, 6 : 5-3,1,5,6,3

10/Q, 6 : 2-6,4,3,0,4

2/9, 6 : 50-2,1,0,3,0

10/5, 6 : 2-6,2,3,0,1

6/Q, 6 : 17-5,6,5,4,1

6/J, 6 : 27-0,0,3,4,6

9/J, 6 : 12-2,0,4,0,5

4/K, 6 : 28-1,4,3,6,2

A/K, 6 : 33-2,1,0,2,0

10/J, 6 : 5-4,0,6,3,4

5/4, 6 : 49-5,6,4,5,0

4/J, 6 : 14-0,4,3,0,3

7/K, 6 : 45-1,2,0,4,0

5/A, 6 : 10-3,2,5,6,0

A/Q, 6 : 21-1,4,6,0,0

6/5, 6 : 15-3,0,6,0,3

5/Q, 6 : 4-0,3,0,5,2

10/2, 6 : 49-3,0,6,2,5

A/10, 6 : 20-0,5,3,0,6

8/2, 6 : 44-3,0,3,0,3

10/A, 6 : 14-3,0,5,3,0

K/3, 6 : 36-6,0,6,0,3

K/4, 6 : 42-1,0,1,3,0

9/5, 6 : 50-6,0,4,2,0

10/7, 6 : 13-4,4,1,0,6

K/8, 6 : 37-0,4,0,1,2

A/5, 6 : 15-3,0,4,2,1

8/6, 6 : 32-6,4,3,0,3

4/10, 6 : 14-0,0,3,0,0

A/J, 6 : 19-5,0,4,3,0

A/6, 6 : 28-6,0,2,5,0

Q/10, 6 : 3-0,3,6,5,3

7/A, 6 : 19-4,0,0,3,3

6/7, 6 : 21-2,6,0,3,1

3/5, 6 : 42-0,2,0,2,4

3/K, 6 : 30-2,6,0,6,0

K/10, 6 : 37-0,1,0,0,2

J/10, 6 : 11-0,6,3,4,0

4/A, 6 : 26-3,0,2,6,4

9/K, 6 : 35-1,2,0,4,6

K/9, 6 : 35-1,2,0,2,6

9/7, 6 : 11-3,0,5,6,2

4/7, 6 : 8-6,0,3,3,0

K/5, 6 : 41-2,0,2,0,5

K/6, 6 : 34-5,3,6,0,5

Q/J, 6 : 17-5,6,4,0,4

J/4, 6 : 14-0,4,6,0,3

7/5, 6 : 7-0,2,4,2,0

K/J, 6 : 29-4,0,2,0,2

2/Q, 6 : 51-1,6,5,2,6

5/6, 6 : 9-1,3,0,6,0

5/8, 6 : 1-0,0,5,0,2

Q/A, 6 : 21-1,3,6,0,0

5/9, 6 : 50-6,0,3,2,0

J/8, 6 : 29-4,0,0,2,0

10/3, 6 : 2-0,1,3,0,0

3/Q, 6 : 43-5,1,5,3,6

5/K, 6 : 49-0,6,2,3,0

3/4, 6 : 30-2,2,0,0,0

Q/6, 6 : 18-4,0,4,0,3

8/J, 6 : 32-1,3,3,0,3

5/7, 6 : 7-0,5,4,2,0

3/9, 6 : 35-1,6,3,6,6

6/8, 6 : 27-6,0,3,2,5

5/3, 6 : 2-0,2,4,6,0

K/7, 6 : 34-3,0,6,3,5

J/Q, 6 : 18-0,0,3,5,3

J/7, 6 : 17-0,1,4,0,5

Q/8, 6 : 44-1,0,3,2,0

3/2, 6 : 43-5,1,5,6,0

6/K, 6 : 28-0,5,3,6,0

3/J, 6 : 30-3,5,0,2,0

5/10, 6 : 2-6,2,4,0,1

Q/5, 6 : 4-0,2,0,5,2

J/6, 6 : 27-0,0,2,4,6

J/A, 6 : 19-5,0,4,4,0

A/3, 6 : 30-1,4,0,3,0

8/10, 6 : 38-0,3,0,3,6

J/2, 6 : 10-0,3,2,5,6

9/Q, 6 : 6-0,2,4,4,0

10/9, 6 : 2-6,0,3,0,2

7/6, 6 : 21-2,6,4,3,1

Q/K, 6 : 51-2,0,1,5,6

6/10, 6 : 15-2,5,6,0,3

Q/4, 6 : 14-0,2,4,0,6

2/3, 6 : 44-0,2,4,0,3

7/4, 6 : 8-6,0,3,3,5

Q/7, 6 : 6-0,3,4,0,6

9/10, 6 : 8-0,3,0,2,4

4/Q, 6 : 14-0,2,3,0,6

8/9, 6 : 0-4,1,2,6,4

4/8, 6 : 16-4,3,1,4,6

8/7, 6 : 44-3,0,3,5,6

Q/9, 6 : 6-0,2,4,0,0

J/3, 6 : 30-3,5,0,1,0

A/4, 6 : 26-5,0,2,6,4

2/K, 6 : 45-6,2,0,5,2

8/Q, 6 : 44-3,0,3,2,0

5/2, 6 : 49-3,6,4,0,0

7/9, 6 : 17-0,5,6,2,5

4/5, 6 : 8-2,0,6,3,0

2/5, 6 : 49-3,6,6,0,0



2/9, 7 : 47-5,3,0,3,5

A/K, 7 : 28-0,5,1,2,0

2/5, 7 : 47-5,7,0,3,4

7/K, 7 : 39-0,0,2,0,7

J/Q, 7 : 17-0,6,2,0,4

A/J, 7 : 17-0,0,4,3,6

9/6, 7 : 13-1,7,0,2,1

7/8, 7 : 39-0,1,3,0,7

4/J, 7 : 19-1,0,5,1,0

Q/3, 7 : 1-0,4,0,7,3

5/4, 7 : 3-0,7,3,3,0

J/6, 7 : 20-4,0,0,1,1

10/A, 7 : 33-0,4,4,0,7

9/J, 7 : 21-0,7,6,0,7

A/9, 7 : 23-7,6,3,0,6

6/9, 7 : 13-1,7,0,5,1

8/6, 7 : 21-4,6,0,5,0

K/5, 7 : 41-2,0,0,1,1

2/10, 7 : 40-4,5,0,0,3

4/9, 7 : 8-6,5,0,0,2

Q/10, 7 : 1-7,4,0,4,1

K/8, 7 : 41-2,0,1,1,7

A/3, 7 : 25-0,3,1,5,0

5/6, 7 : 51-0,0,5,0,0

7/3, 7 : 39-0,2,0,0,7

Q/2, 7 : 50-2,0,0,3,4

7/A, 7 : 9-6,0,7,0,3

4/10, 7 : 47-0,0,7,4,6

5/7, 7 : 2-7,4,0,4,0

2/8, 7 : 40-0,5,2,0,3

9/Q, 7 : 1-4,6,0,7,0

A/2, 7 : 17-2,0,4,2,0

J/4, 7 : 13-0,4,2,0,7

J/8, 7 : 19-6,0,7,0,2

3/10, 7 : 49-1,4,6,7,0

4/A, 7 : 16-4,6,7,3,0

6/2, 7 : 32-0,3,6,5,7

A/Q, 7 : 17-5,0,4,0,6

7/Q, 7 : 9-6,0,0,0,7

K/10, 7 : 35-7,2,4,0,6

Q/J, 7 : 10-2,0,6,2,0

4/5, 7 : 6-0,0,0,2,4

9/10, 7 : 50-0,4,2,0,2

9/3, 7 : 21-0,4,1,7,7

K/7, 7 : 39-4,0,2,0,7

K/9, 7 : 31-5,5,7,3,0

7/J, 7 : 9-6,0,1,0,4

3/4, 7 : 26-6,5,7,0,6

3/2, 7 : 40-7,3,6,0,3

10/Q, 7 : 8-1,0,4,1,7

9/4, 7 : 7-0,6,0,7,3

8/A, 7 : 21-4,0,5,5,0

Q/4, 7 : 10-2,5,5,0,0

2/Q, 7 : 50-2,0,0,2,4

10/J, 7 : 5-4,5,0,0,7

9/8, 7 : 49-0,1,3,0,3

3/7, 7 : 25-0,5,0,2,0

2/K, 7 : 42-1,3,0,7,3

2/3, 7 : 43-0,2,3,0,2

5/8, 7 : 49-0,6,0,0,2

5/K, 7 : 41-2,0,0,3,1

3/6, 7 : 25-0,0,3,2,0

Q/K, 7 : 46-0,2,4,0,7

3/9, 7 : 20-7,5,2,0,2

2/6, 7 : 40-2,5,4,0,3

5/2, 7 : 47-5,7,0,2,4

8/K, 7 : 41-6,0,1,1,7

4/8, 7 : 19-6,3,5,0,0

Q/7, 7 : 9-3,0,0,0,7

6/4, 7 : 25-4,0,3,7,5

K/3, 7 : 29-3,0,0,3,6

Q/8, 7 : 38-0,2,0,5,7

9/2, 7 : 45-0,5,0,0,0

3/A, 7 : 25-0,3,1,2,0

6/8, 7 : 28-6,0,5,0,2

Q/9, 7 : 1-4,4,0,7,0

9/K, 7 : 31-5,5,7,5,0

9/5, 7 : 51-6,0,1,0,1

3/Q, 7 : 24-6,1,0,3,7

J/2, 7 : 20-1,6,0,7,4

6/10, 7 : 12-5,0,7,6,2

8/7, 7 : 42-4,0,3,4,0

8/9, 7 : 42-5,0,1,3,0

10/7, 7 : 2-0,7,0,3,0

7/5, 7 : 2-7,6,0,4,0

A/5, 7 : 10-3,1,0,4,2

9/A, 7 : 22-6,0,4,7,0

3/K, 7 : 29-3,0,0,3,3

8/2, 7 : 42-5,3,3,7,0

8/Q, 7 : 49-0,3,1,0,5

Q/6, 7 : 1-5,4,0,7,5

6/5, 7 : 13-5,0,0,5,1

Q/A, 7 : 16-6,0,1,7,0

A/8, 7 : 19-6,5,0,0,4

3/5, 7 : 41-0,2,5,3,1

6/K, 7 : 27-0,5,1,0,7

6/J, 7 : 27-0,0,1,1,3

K/6, 7 : 27-0,7,2,0,7

10/K, 7 : 42-2,4,0,6,7

K/A, 7 : 28-0,5,1,4,0

7/9, 7 : 2-3,6,0,5,0

J/7, 7 : 16-0,1,0,4,5

5/3, 7 : 41-0,2,0,3,1

A/7, 7 : 16-0,7,0,3,0

10/9, 7 : 50-0,4,5,0,2

A/10, 7 : 16-1,7,5,0,0

8/4, 7 : 21-4,1,3,5,0

A/4, 7 : 17-3,0,0,2,6

J/10, 7 : 19-0,0,7,4,2

6/Q, 7 : 23-0,4,2,1,0

4/Q, 7 : 10-2,3,5,0,0

8/J, 7 : 20-5,6,0,6,7

2/4, 7 : 46-6,1,7,4,0

A/6, 7 : 23-7,5,2,0,0

4/3, 7 : 15-5,0,3,2,0

5/A, 7 : 6-0,5,0,7,6

10/4, 7 : 33-5,4,0,0,7

7/4, 7 : 8-0,7,0,7,2

J/K, 7 : 27-6,0,7,0,7

K/Q, 7 : 46-0,2,3,0,7

7/10, 7 : 2-0,6,0,3,0

K/J, 7 : 28-5,7,0,4,0

5/9, 7 : 51-6,0,5,0,1

10/6, 7 : 51-0,3,4,6,0

J/3, 7 : 20-4,6,0,0,2

9/7, 7 : 1-4,0,7,6,0

J/A, 7 : 17-0,0,2,3,6

K/4, 7 : 46-0,2,3,5,0

10/2, 7 : 40-4,5,0,0,1

4/2, 7 : 46-6,1,7,5,0

3/J, 7 : 27-6,0,0,2,5

7/6, 7 : 13-2,3,0,7,5

8/5, 7 : 42-5,0,6,0,0

5/J, 7 : 6-0,5,0,6,0

6/A, 7 : 23-7,4,2,0,0

8/10, 7 : 42-5,0,5,6,0

4/7, 7 : 8-0,5,0,7,2

10/8, 7 : 42-2,0,5,6,0

4/K, 7 : 46-0,1,3,5,0

K/2, 7 : 38-5,0,1,4,0

6/3, 7 : 27-0,7,0,2,3

4/6, 7 : 18-2,4,0,3,7

6/7, 7 : 13-2,3,0,5,1

J/9, 7 : 21-0,5,6,0,7

10/3, 7 : 49-1,5,6,7,0

J/5, 7 : 13-5,0,6,0,7

A/5, 8 : 11-2,0,0,5,0

K/J, 8 : 25-0,0,2,4,6



7/4, 8 : 14-1,1,0,0,0

3/K, 8 : 27-5,0,5,8,4

6/5, 8 : 2-4,0,8,0,0

4/Q, 8 : 14-0,7,0,7,0

4/A, 8 : 14-6,8,0,2,0

5/Q, 8 : 5-0,5,6,1,0

5/A, 8 : 2-0,0,8,8,6

6/A, 8 : 23-0,0,3,4,3

8/Q, 8 : 42-5,6,1,0,0

2/9, 8 : 44-0,5,0,3,4

4/3, 8 : 40-0,6,4,0,8

J/6, 8 : 17-7,8,0,0,8

K/Q, 8 : 37-0,0,2,2,5

J/9, 8 : 25-0,0,0,0,8

Q/6, 8 : 50-0,6,0,0,8

7/K, 8 : 35-0,3,2,0,0

5/4, 8 : 46-0,0,0,8,3

A/9, 8 : 19-8,0,5,0,6

9/10, 8 : 4-5,2,0,0,0

10/J, 8 : 1-0,0,8,0,0

3/4, 8 : 24-0,6,0,6,4

9/K, 8 : 20-0,0,7,8,5

7/9, 8 : 6-0,8,6,7,0

6/K, 8 : 26-0,0,1,0,5

K/5, 8 : 39-4,0,0,2,0

5/2, 8 : 46-6,0,0,1,1

5/J, 8 : 2-0,0,8,7,7

K/10, 8 : 39-4,0,0,6,7

10/Q, 8 : 4-0,5,6,2,0

6/2, 8 : 2-4,8,3,0,0

K/6, 8 : 26-0,0,1,3,5

6/4, 8 : 22-7,8,4,0,4

K/9, 8 : 20-0,0,7,8,3

7/2, 8 : 13-0,2,0,8,7

6/9, 8 : 25-8,6,1,0,8

3/A, 8 : 24-0,0,0,3,4

7/Q, 8 : 6-8,0,0,7,0

3/5, 8 : 44-4,0,2,2,0

9/8, 8 : 48-0,3,2,0,0

3/7, 8 : 43-5,8,0,0,8

A/8, 8 : 19-6,0,5,0,0

K/8, 8 : 37-6,0,3,2,0

4/2, 8 : 44-0,2,0,4,5

10/7, 8 : 29-0,7,1,0,0

3/10, 8 : 28-4,0,4,0,8

2/5, 8 : 46-6,0,8,3,1

4/J, 8 : 17-3,0,5,0,5

J/7, 8 : 9-6,6,0,0,0

Q/K, 8 : 42-3,3,5,0,0

4/10, 8 : 21-0,8,7,8,0

J/3, 8 : 16-0,0,8,0,1

A/K, 8 : 23-0,4,1,0,0

5/8, 8 : 39-0,8,7,2,0

2/4, 8 : 44-0,2,0,3,5

8/10, 8 : 37-7,2,3,0,0

9/7, 8 : 6-0,8,6,6,0

9/3, 8 : 26-6,2,0,7,0

J/A, 8 : 16-0,8,0,8,3

2/3, 8 : 44-0,0,0,3,0

9/J, 8 : 25-0,3,0,0,8

5/K, 8 : 38-5,8,0,0,8

8/K, 8 : 37-6,2,3,2,0

3/Q, 8 : 44-4,0,4,6,0

10/3, 8 : 45-3,0,0,8,7

K/2, 8 : 39-4,0,0,0,2

K/A, 8 : 23-0,8,4,0,0

7/5, 8 : 5-0,2,6,0,8

2/8, 8 : 39-0,5,1,0,2

A/J, 8 : 16-0,7,0,8,3

6/3, 8 : 26-0,0,0,0,2

2/K, 8 : 36-7,0,1,0,3

J/8, 8 : 17-0,0,0,0,7

10/A, 8 : 11-6,7,0,8,0

8/4, 8 : 40-7,0,3,0,8

A/Q, 8 : 24-7,0,5,3,0

8/5, 8 : 39-0,8,4,2,0

A/10, 8 : 11-6,7,0,5,0

3/2, 8 : 44-4,0,0,3,0

5/6, 8 : 2-0,0,8,0,0

Q/2, 8 : 13-0,1,1,0,7

7/J, 8 : 9-6,6,0,0,5

7/3, 8 : 7-0,0,8,6,8

4/9, 8 : 49-0,8,7,0,8

7/8, 8 : 7-0,0,2,6,0

4/5, 8 : 46-0,0,0,2,3

6/7, 8 : 26-0,0,4,0,8

2/7, 8 : 35-2,3,1,8,4

6/J, 8 : 18-6,0,0,7,0

2/6, 8 : 36-3,0,6,0,3

10/8, 8 : 37-7,2,0,0,0

8/J, 8 : 17-0,0,0,6,7

4/8, 8 : 14-6,3,0,8,0

A/7, 8 : 7-0,0,0,4,1

Q/A, 8 : 24-6,0,5,3,0

8/7, 8 : 43-4,0,0,0,2

A/2, 8 : 11-0,2,0,5,0

Q/J, 8 : 9-3,5,5,0,0

Q/10, 8 : 4-0,5,2,2,0

A/4, 8 : 19-1,0,5,0,3

J/K, 8 : 25-0,0,0,4,6

8/3, 8 : 23-2,1,0,8,5

9/A, 8 : 20-0,0,4,7,5

5/9, 8 : 49-0,0,5,6,7

A/6, 8 : 23-0,0,1,4,3

4/6, 8 : 22-7,0,1,0,4

8/9, 8 : 40-7,0,3,2,0

3/6, 8 : 26-6,0,0,0,2

9/4, 8 : 48-6,1,0,0,0

10/6, 8 : 2-7,7,0,0,0

K/3, 8 : 26-6,8,0,3,5

J/Q, 8 : 9-3,5,0,0,0

J/10, 8 : 9-0,8,0,0,0

K/7, 8 : 29-0,6,0,2,6

5/3, 8 : 46-2,0,0,8,6

10/9, 8 : 4-5,5,0,0,0

Q/5, 8 : 5-0,8,6,1,0

8/6, 8 : 18-7,0,0,5,8

Q/4, 8 : 14-0,0,0,7,0

A/3, 8 : 24-7,0,0,3,4

8/A, 8 : 16-8,7,0,7,0

Q/8, 8 : 42-5,8,6,0,0

7/10, 8 : 7-0,0,3,6,5

2/A, 8 : 11-0,2,0,5,8

J/5, 8 : 9-1,1,0,0,0

8/2, 8 : 39-0,8,4,0,2

10/4, 8 : 29-8,7,8,0,0

2/10, 8 : 36-0,0,8,0,3

6/10, 8 : 18-0,0,0,2,0

3/8, 8 : 23-2,1,0,1,5

7/6, 8 : 34-0,4,0,8,8

2/Q, 8 : 39-6,5,8,0,2

9/Q, 8 : 50-7,0,0,0,6

3/J, 8 : 16-0,0,8,0,2

Q/3, 8 : 6-2,0,0,2,7

10/2, 8 : 36-0,0,8,0,1

6/8, 8 : 18-7,0,0,5,0

2/J, 8 : 11-0,2,6,6,8

Q/7, 8 : 6-6,0,0,7,0

10/K, 8 : 37-6,0,0,0,8

Q/9, 8 : 6-0,0,0,6,7

3/9, 8 : 24-0,4,0,8,4

9/5, 8 : 48-8,8,6,0,0

7/A, 8 : 7-0,0,0,8,7

9/2, 8 : 48-4,1,8,0,0

5/7, 8 : 5-0,5,6,0,8

J/4, 8 : 17-3,0,0,0,5

4/K, 8 : 13-7,0,8,6,0

6/Q, 8 : 26-0,0,3,0,6

9/6, 8 : 4-2,2,0,0,3

J/2, 8 : 9-7,2,0,0,0

K/4, 8 : 31-7,4,0,0,8

4/7, 8 : 14-8,7,0,0,0

4/5, 9 : 45-0,8,0,7,0

6/9, 9 : 21-7,0,3,9,0

K/9, 9 : 18-9,0,7,9,0

A/J, 9 : 14-9,8,3,8,1

J/K, 9 : 40-0,4,5,0,0

6/K, 9 : 25-0,5,9,6,2

8/Q, 9 : 38-0,0,3,0,8

8/3, 9 : 41-6,0,1,0,7



3/A, 9 : 22-0,0,8,1,2

3/8, 9 : 41-0,0,1,0,7

9/8, 9 : 20-8,7,0,0,9

J/8, 9 : 40-0,7,1,0,0

9/4, 9 : 45-0,3,0,8,7

7/K, 9 : 19-4,0,0,0,8

2/9, 9 : 43-0,5,9,3,0

